C,Si,Mn,Ni,Cr,Mo,V,Cu,W,Al,Ti,Nb,N,Co,P,S,AT ,t,T
0.28,0.16,0.39,0.06,2.35,0.06,0.53,0,4.1,0,0,0,0,0,0.02,0.006,1090,37.07746213,391.41
0.28,0.16,0.39,0.06,2.35,0.06,0.53,0,4.1,0,0,0,0,0,0.02,0.006,1090,40.78495618,412.88
0.28,0.16,0.39,0.06,2.35,0.06,0.53,0,4.1,0,0,0,0,0,0.02,0.006,1090,45.92085864,428.22
0.28,0.16,0.39,0.06,2.35,0.06,0.53,0,4.1,0,0,0,0,0,0.02,0.006,1090,54.20008904,443.56
0.28,0.16,0.39,0.06,2.35,0.06,0.53,0,4.1,0,0,0,0,0,0.02,0.006,1090,60.99019192,446.63
0.28,0.16,0.39,0.06,2.35,0.06,0.53,0,4.1,0,0,0,0,0,0.02,0.006,1090,71.96477966,455.83
0.28,0.16,0.39,0.06,2.35,0.06,0.53,0,4.1,0,0,0,0,0,0.02,0.006,1090,91.11082937,458.9
0.28,0.16,0.39,0.06,2.35,0.06,0.53,0,4.1,0,0,0,0,0,0.02,0.006,1090,108.6300551,464.12
0.28,0.16,0.39,0.06,2.35,0.06,0.53,0,4.1,0,0,0,0,0,0.02,0.006,1090,120.0991683,467.02
0.28,0.16,0.39,0.06,2.35,0.06,0.53,0,4.1,0,0,0,0,0,0.02,0.006,1090,131.8074627,470.88
0.28,0.16,0.39,0.06,2.35,0.06,0.53,0,4.1,0,0,0,0,0,0.02,0.006,1090,147.3567383,473.78
0.28,0.16,0.39,0.06,2.35,0.06,0.53,0,4.1,0,0,0,0,0,0.02,0.006,1090,165.356016,476.68
0.28,0.16,0.39,0.06,2.35,0.06,0.53,0,4.1,0,0,0,0,0,0.02,0.006,1090,180.7881664,479.09
0.28,0.16,0.39,0.06,2.35,0.06,0.53,0,4.1,0,0,0,0,0,0.02,0.006,1090,212.8825188,480.06
0.28,0.16,0.39,0.06,2.35,0.06,0.53,0,4.1,0,0,0,0,0,0.02,0.006,1090,229.2978592,480.54
0.28,0.16,0.39,0.06,2.35,0.06,0.53,0,4.1,0,0,0,0,0,0.02,0.006,1090,250.6744092,481.02
0.28,0.16,0.39,0.06,2.35,0.06,0.53,0,4.1,0,0,0,0,0,0.02,0.006,1090,279.1965195,482.96
0.28,0.16,0.39,0.06,2.35,0.06,0.53,0,4.1,0,0,0,0,0,0.02,0.006,1090,322.71563,483.92
0.28,0.16,0.39,0.06,2.35,0.06,0.53,0,4.1,0,0,0,0,0,0.02,0.006,1090,350.211175,485.37
0.28,0.16,0.39,0.06,2.35,0.06,0.53,0,4.1,0,0,0,0,0,0.02,0.006,1090,394.3755661,484.41
0.28,0.16,0.39,0.06,2.35,0.06,0.53,0,4.1,0,0,0,0,0,0.02,0.006,1090,429.5759904,486.34
0.28,0.16,0.39,0.06,2.35,0.06,0.53,0,4.1,0,0,0,0,0,0.02,0.006,1090,474.9304335,489.24
0.28,0.16,0.39,0.06,2.35,0.06,0.53,0,4.1,0,0,0,0,0,0.02,0.006,1090,534.8475368,489.24
0.28,0.16,0.39,0.06,2.35,0.06,0.53,0,4.1,0,0,0,0,0,0.02,0.006,1090,636.7808583,487.79
0.28,0.16,0.39,0.06,2.35,0.06,0.53,0,4.1,0,0,0,0,0,0.02,0.006,1090,733.3984707,491.17
0.28,0.16,0.39,0.06,2.35,0.06,0.53,0,4.1,0,0,0,0,0,0.02,0.006,1090,863.5549939,491.17
0.28,0.16,0.39,0.06,2.35,0.06,0.53,0,4.1,0,0,0,0,0,0.02,0.006,1090,1001.843766,491.65
0.28,0.16,0.39,0.06,2.35,0.06,0.53,0,4.1,0,0,0,0,0,0.02,0.006,1090,1210.681762,491.17
0.28,0.16,0.39,0.06,2.35,0.06,0.53,0,4.1,0,0,0,0,0,0.02,0.006,1090,1401.941849,491.41
0.28,0.16,0.39,0.06,2.35,0.06,0.53,0,4.1,0,0,0,0,0,0.02,0.006,1090,1700.591484,492.38
0.28,0.16,0.39,0.06,2.35,0.06,0.53,0,4.1,0,0,0,0,0,0.02,0.006,1090,2172.951335,493.34
0.28,0.16,0.39,0.06,2.35,0.06,0.53,0,4.1,0,0,0,0,0,0.02,0.006,1090,2675.284664,494.31
0.28,0.16,0.39,0.06,2.35,0.06,0.53,0,4.1,0,0,0,0,0,0.02,0.006,1090,3244.740727,492.38
0.28,0.16,0.39,0.06,2.35,0.06,0.53,0,4.1,0,0,0,0,0,0.02,0.006,1090,4023.555535,487.55
0.28,0.16,0.39,0.06,2.35,0.06,0.53,0,4.1,0,0,0,0,0,0.02,0.006,1090,4916.771211,487.55
0.28,0.16,0.39,0.06,2.35,0.06,0.53,0,4.1,0,0,0,0,0,0.02,0.006,1090,5759.701813,487.41
0.28,0.16,0.39,0.06,2.35,0.06,0.53,0,4.1,0,0,0,0,0,0.02,0.006,1090,6627.198822,486.19
0.28,0.16,0.39,0.06,2.35,0.06,0.53,0,4.1,0,0,0,0,0,0.02,0.006,1090,7768.014007,481.93
0.28,0.16,0.39,0.06,2.35,0.06,0.53,0,4.1,0,0,0,0,0,0.02,0.006,1090,9022.564596,481.93
0.28,0.16,0.39,0.06,2.35,0.06,0.53,0,4.1,0,0,0,0,0,0.02,0.006,1090,11450.90997,477.06
0.28,0.16,0.39,0.06,2.35,0.06,0.53,0,4.1,0,0,0,0,0,0.02,0.006,1090,13174.98107,475.24
0.28,0.16,0.39,0.06,2.35,0.06,0.53,0,4.1,0,0,0,0,0,0.02,0.006,1090,16565.70793,470.37
0.28,0.16,0.39,0.06,2.35,0.06,0.53,0,4.1,0,0,0,0,0,0.02,0.006,1090,20630.98674,461.85
0.37,1,0.51,0,5.1,1.26,0.97,0,0,0,0,0,0,0,0,0,1080,553.3501092,306.42
0.37,1,0.51,0,5.1,1.26,0.97,0,0,0,0,0,0,0,0,0,1080,615.6019686,323.41
0.37,1,0.51,0,5.1,1.26,0.97,0,0,0,0,0,0,0,0,0,1080,705.1800219,332.68
0.37,1,0.51,0,5.1,1.26,0.97,0,0,0,0,0,0,0,0,0,1080,752.4887302,341.17
0.37,1,0.51,0,5.1,1.26,0.97,0,0,0,0,0,0,0,0,0,1080,831.9553138,344.26
0.37,1,0.51,0,5.1,1.26,0.97,0,0,0,0,0,0,0,0,0,1080,941.4559402,346.59
0.37,1,0.51,0,5.1,1.26,0.97,0,0,0,0,0,0,0,0,0,1080,1052.931213,345.05
0.37,1,0.51,0,5.1,1.26,0.97,0,0,0,0,0,0,0,0,0,1080,1234.525315,345.06
0.37,1,0.51,0,5.1,1.26,0.97,0,0,0,0,0,0,0,0,0,1080,1517.050367,340.44
0.37,1,0.51,0,5.1,1.26,0.97,0,0,0,0,0,0,0,0,0,1080,1898.016572,338.91
0.37,1,0.51,0,5.1,1.26,0.97,0,0,0,0,0,0,0,0,0,1080,2224.846229,338.15
0.37,1,0.51,0,5.1,1.26,0.97,0,0,0,0,0,0,0,0,0,1080,2767.578831,339.7
0.37,1,0.51,0,5.1,1.26,0.97,0,0,0,0,0,0,0,0,0,1080,3283.220116,338.94
0.37,1,0.51,0,5.1,1.26,0.97,0,0,0,0,0,0,0,0,0,1080,3940.941607,342.81
0.37,1,0.51,0,5.1,1.26,0.97,0,0,0,0,0,0,0,0,0,1080,5079.254804,349.77
0.37,1,0.51,0,5.1,1.26,0.97,0,0,0,0,0,0,0,0,0,1080,6170.210777,354.42
0.37,1,0.51,0,5.1,1.26,0.97,0,0,0,0,0,0,0,0,0,1080,7812.679346,364.46
0.37,1,0.51,0,5.1,1.26,0.97,0,0,0,0,0,0,0,0,0,1080,9431.917644,371.3
0.37,1,0.51,0,5.1,1.26,0.97,0,0,0,0,0,0,0,0,0,1080,11274.57033,380.86
0.37,1,0.51,0,5.1,1.26,0.97,0,0,0,0,0,0,0,0,0,1080,13756.2481,395.18
0.37,1,0.51,0,5.1,1.26,0.97,0,0,0,0,0,0,0,0,0,1080,17183.03996,412.98
0.37,1,0.51,0,5.1,1.26,0.97,0,0,0,0,0,0,0,0,0,1080,21537.73356,430.7
0.37,1,0.51,0,5.1,1.26,0.97,0,0,0,0,0,0,0,0,0,1080,27208.21182,460.04
0.37,1,0.51,0,5.1,1.26,0.97,0,0,0,0,0,0,0,0,0,1080,33174.16497,492.08
0.37,1,0.51,0,5.1,1.26,0.97,0,0,0,0,0,0,0,0,0,1030,651.6283941,308.36
0.37,1,0.51,0,5.1,1.26,0.97,0,0,0,0,0,0,0,0,0,1030,842.1704522,314.17
0.37,1,0.51,0,5.1,1.26,0.97,0,0,0,0,0,0,0,0,0,1030,1127.716669,318.81
0.37,1,0.51,0,5.1,1.26,0.97,0,0,0,0,0,0,0,0,0,1030,1465.885335,321.53
0.37,1,0.51,0,5.1,1.26,0.97,0,0,0,0,0,0,0,0,0,1030,1956.590768,324.64
0.37,1,0.51,0,5.1,1.26,0.97,0,0,0,0,0,0,0,0,0,1030,2578.69513,328.95
0.37,1,0.51,0,5.1,1.26,0.97,0,0,0,0,0,0,0,0,0,1030,3463.378846,336.32
0.37,1,0.51,0,5.1,1.26,0.97,0,0,0,0,0,0,0,0,0,1030,4629.136638,343.08
0.37,1,0.51,0,5.1,1.26,0.97,0,0,0,0,0,0,0,0,0,1030,6017.27694,352.28
0.37,1,0.51,0,5.1,1.26,0.97,0,0,0,0,0,0,0,0,0,1030,7533.555637,361.48
0.37,1,0.51,0,5.1,1.26,0.97,0,0,0,0,0,0,0,0,0,1030,9931.160484,374.36
0.37,1,0.51,0,5.1,1.26,0.97,0,0,0,0,0,0,0,0,0,1030,14645.35826,387.25
0.37,1,0.51,0,5.1,1.26,0.97,0,0,0,0,0,0,0,0,0,1030,19674.33219,399.52
0.37,1,0.51,0,5.1,1.26,0.97,0,0,0,0,0,0,0,0,0,1030,25217.38216,413.62
