C,Si,Mn,Ni,Cr,Mo,V,Cu,W,Al,Ti,Nb,N,Co,P,S,AT ,t,T
0.28,0.15,0.4,0.06,2.5,0.06,0.5,0,4,0,0,0,0,0,0.02,0.006,1090,85.96,396
0.28,0.15,0.4,0.06,2.5,0.06,0.5,0,4,0,0,0,0,0,0.02,0.006,1090,135.42,435
0.28,0.15,0.4,0.06,2.5,0.06,0.5,0,4,0,0,0,0,0,0.02,0.006,1090,186.96,450
0.28,0.15,0.4,0.06,2.5,0.06,0.5,0,4,0,0,0,0,0,0.02,0.006,1090,238.99,459
0.28,0.15,0.4,0.06,2.5,0.06,0.5,0,4,0,0,0,0,0,0.02,0.006,1090,291.74,464
0.28,0.15,0.4,0.06,2.5,0.06,0.5,0,4,0,0,0,0,0,0.02,0.006,1090,343.89,469
0.28,0.15,0.4,0.06,2.5,0.06,0.5,0,4,0,0,0,0,0,0.02,0.006,1090,396.62,472
0.28,0.15,0.4,0.06,2.5,0.06,0.5,0,4,0,0,0,0,0,0.02,0.006,1090,449.67,474
0.28,0.15,0.4,0.06,2.5,0.06,0.5,0,4,0,0,0,0,0,0.02,0.006,1090,502.46,476
0.28,0.15,0.4,0.06,2.5,0.06,0.5,0,4,0,0,0,0,0,0.02,0.006,1090,765.6,483
0.28,0.15,0.4,0.06,2.5,0.06,0.5,0,4,0,0,0,0,0,0.02,0.006,1090,1028.22,487
0.28,0.15,0.4,0.06,2.5,0.06,0.5,0,4,0,0,0,0,0,0.02,0.006,1090,1551.18,492
0.28,0.15,0.4,0.06,2.5,0.06,0.5,0,4,0,0,0,0,0,0.02,0.006,1090,2072.53,495
0.28,0.15,0.4,0.06,2.5,0.06,0.5,0,4,0,0,0,0,0,0.02,0.006,1090,2593.03,497
0.28,0.15,0.4,0.06,2.5,0.06,0.5,0,4,0,0,0,0,0,0.02,0.006,1090,3115.31,498
0.28,0.15,0.4,0.06,2.5,0.06,0.5,0,4,0,0,0,0,0,0.02,0.006,1090,3635.84,499
0.28,0.15,0.4,0.06,2.5,0.06,0.5,0,4,0,0,0,0,0,0.02,0.006,1090,4154.62,500
0.28,0.15,0.4,0.06,2.5,0.06,0.5,0,4,0,0,0,0,0,0.02,0.006,1090,4671.63,501
