Al,Co,Cr,Cu,Fe,Ni,V,Mo,Mn,Sn,W,Zr,Ti,Ta,Nb,T(K),E
4.5,19.5,17.2,21,18.4,19.4,0,0,0,0,0,0,0,0,0,298.15,161.1
8.557,18.689,16.49,20.152,17.5,18.613,0,0,0,0,0,0,0,0,0,298.15,171.7
3.366,24.474,21.874,21.593,0,24.375,0,0,0,0,0,0,0,0,0,298.15,168
4.468,0,17.22,21.045,18.393,38.875,0,0,0,0,0,0,0,0,0,298.15,172.1
0,34.709,30.624,0,0,34.568,0,0,0,0,0,0,0,0,0,298.15,174
0,33.94,0,0,32.259,33.802,0,0,0,0,0,0,0,0,0,298.15,173.8
4.464,19.501,17.206,21.028,18.379,19.422,0,0,0,0,0,0,0,0,0,298.15,173.3
9.427,10.295,18.166,22.202,19.404,20.506,0,0,0,0,0,0,0,0,0,298.15,71.6
9.314,20.343,8.974,21.936,19.172,20.261,0,0,0,0,0,0,0,0,0,298.15,161.1
9.503,20.757,18.314,11.191,19.562,20.673,0,0,0,0,0,0,0,0,0,298.15,121.1
9.376,20.479,18.069,22.082,9.598,20.396,0,0,0,0,0,0,0,0,0,298.15,178.6
9.423,20.581,18.159,22.192,19.396,10.249,0,0,0,0,0,0,0,0,0,298.15,115.5
4.464,19.501,17.206,21.028,18.379,19.422,0,0,0,0,0,0,0,0,0,298.15,174.4
4.329,18.804,16.59,20.276,18.023,18.727,3.251,0,0,0,0,0,0,0,0,298.15,141.1
4.192,18.204,16.061,19.628,17.454,18.13,6.331,0,0,0,0,0,0,0,0,298.15,71.9
4.052,17.7,15.617,19.086,16.774,17.628,9.143,0,0,0,0,0,0,0,0,298.15,130.9
3.963,17.203,15.178,18.549,16.097,17.133,11.877,0,0,0,0,0,0,0,0,298.15,166.7
3.821,16.691,14.726,17.997,15.714,16.623,14.428,0,0,0,0,0,0,0,0,298.15,127.8
3.729,16.183,14.278,17.45,15.438,16.117,16.805,0,0,0,0,0,0,0,0,298.15,257.3
3.637,15.777,13.92,17.012,14.848,15.713,19.093,0,0,0,0,0,0,0,0,298.15,218
3.491,15.361,13.552,16.563,14.453,15.298,21.282,0,0,0,0,0,0,0,0,298.15,130.5
3.449,14.956,13.196,16.127,14.069,14.895,23.308,0,0,0,0,0,0,0,0,298.15,136.6
3.353,14.54,12.828,15.678,13.985,14.48,25.136,0,0,0,0,0,0,0,0,298.15,128
0,20.391,17.991,21.987,19.323,20.308,0,0,0,0,0,0,0,0,0,298.15,112
0,0,15.949,19.491,17.13,18.003,0,29.427,0,0,0,0,0,0,0,298.15,81.9
15.171,22.173,19.563,0,21.011,22.082,0,0,0,0,0,0,0,0,0,298.15,121.1
19.288,21.128,18.641,0,19.901,21.042,0,0,0,0,0,0,0,0,0,298.15,141.7
23.056,20.144,17.773,0,18.965,20.062,0,0,0,0,0,0,0,0,0,298.15,141.6
26.452,19.124,16.873,0,18.505,19.046,0,0,0,0,0,0,0,0,0,298.15,141.7
8.69,18.982,16.747,0,17.772,37.809,0,0,0,0,0,0,0,0,0,298.15,148
8.375,18.294,19.449,0,17.443,36.439,0,0,0,0,0,0,0,0,0,298.15,150
6.9,15.07,18.615,0,14.387,45.028,0,0,0,0,0,0,0,0,0,298.15,157
5.854,12.787,18.09,0,11.6,50.941,0,0,0,0,0,0,0,0,0,298.15,88.46
5.1,11.14,17.73,0,10.557,55.473,0,0,0,0,0,0,0,0,0,298.15,105
4.51,9.867,17.41,0,9.254,58.959,0,0,0,0,0,0,0,0,0,298.15,162
4.047,8.839,17.118,0,8.376,61.62,0,0,0,0,0,0,0,0,0,298.15,102
0,20.186,0,21.765,19.128,20.103,0,0,18.817,0,0,0,0,0,0,298.15,141.1
