Al,Co,Cr,Cu,Fe,Ni,V,Mo,Mn,Sn,W,Zr,Ti,Ta,Nb,T(K),E
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,883,9.25354
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,878,9.30151
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,875.45,9.3258
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,873,9.72546
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,868,10.51659
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,863,11.28986
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,858,12.06276
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,853,12.85306
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,848,13.67937
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,843,14.56906
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,838,15.56174
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,833,16.72078
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,828,18.12431
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,823,19.81553
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,818,21.74021
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,813,23.796
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,808,25.90505
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,803,28.03191
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,798,30.16255
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,793,32.29969
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,788,34.46228
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,783,36.67917
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,778,39.01478
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,773,41.54312
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,768,44.35257
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,763,47.4906
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,758,51.0072
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,753,54.96613
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,748,59.47943
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,743,64.73593
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,738,71.10538
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,733,79.37077
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,728,91.86339
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,723,125.13587
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,718,137.85481
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,713,166.73238
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,708,167.12875
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,703,167.52394
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,698,167.91794
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,693,168.31078
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,688,168.70243
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,683,169.09291
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,678,169.48221
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,673,169.87034
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,668,170.2573
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,663,170.64309
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,658,171.0277
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,653,171.41115
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,648,171.79343
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,643,172.17453
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,638,172.55447
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,633,172.93325
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,628,173.31086
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,623,173.6873
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,618,174.06258
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,613,174.4367
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,608,174.80966
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,603,175.18145
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,598,175.55208
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,593,175.92156
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,588,176.28987
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,583,176.65702
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,578,177.02302
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,573,177.38786
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,568,177.75155
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,563,178.11407
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,558,178.47545
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,553,178.83567
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,548,179.19473
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,543,179.55264
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,538,179.9094
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,533,180.26501
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,528,180.61947
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,523,180.97278
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,518,181.32493
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,513,181.67594
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,508,182.0258
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,503,182.37451
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,498,182.72207
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,493,183.06848
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,488,183.41375
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,483,183.75787
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,478,184.10085
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,473,184.44268
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,468,184.78337
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,463,185.12291
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,458,185.46131
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,453,185.79857
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,448,186.13468
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,443,186.46965
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,438,186.80348
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,433,187.13617
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,428,187.46771
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,423,187.79812
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,418,188.12739
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,413,188.45552
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,408,188.7825
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,403,189.10835
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,398,189.43306
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,393,189.75664
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,388,190.07907
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,383,190.40037
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,378,190.72053
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,373,191.03955
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,368,191.35744
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,363,191.6742
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,358,191.98981
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,353,192.30429
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,348,192.61764
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,343,192.92985
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,338,193.24093
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,333,193.55087
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,328,193.85969
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,323,194.16736
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,318,194.47391
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,313,194.77932
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,308,195.0836
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,303,195.38674
9,18.2,18.2,18.2,18.2,18.2,0,0,0,0,0,0,0,0,0,298.15,195.67972
20,16,16,16,16,16,0,0,0,0,0,0,0,0,0,498,26.48604
20,16,16,16,16,16,0,0,0,0,0,0,0,0,0,493,26.73543
20,16,16,16,16,16,0,0,0,0,0,0,0,0,0,488,26.98723
20,16,16,16,16,16,0,0,0,0,0,0,0,0,0,483,27.23939
20,16,16,16,16,16,0,0,0,0,0,0,0,0,0,478,27.49328
20,16,16,16,16,16,0,0,0,0,0,0,0,0,0,473,27.74833
20,16,16,16,16,16,0,0,0,0,0,0,0,0,0,468,28.00528
20,16,16,16,16,16,0,0,0,0,0,0,0,0,0,463,28.26408
20,16,16,16,16,16,0,0,0,0,0,0,0,0,0,458,28.52216
20,16,16,16,16,16,0,0,0,0,0,0,0,0,0,453,28.78178
20,16,16,16,16,16,0,0,0,0,0,0,0,0,0,448,29.04263
20,16,16,16,16,16,0,0,0,0,0,0,0,0,0,443,29.30321
20,16,16,16,16,16,0,0,0,0,0,0,0,0,0,438,29.56654
20,16,16,16,16,16,0,0,0,0,0,0,0,0,0,433,29.82851
20,16,16,16,16,16,0,0,0,0,0,0,0,0,0,428,30.09368
20,16,16,16,16,16,0,0,0,0,0,0,0,0,0,423,30.35881
20,16,16,16,16,16,0,0,0,0,0,0,0,0,0,420.93,30.46807
20,16,16,16,16,16,0,0,0,0,0,0,0,0,0,418,30.62314
20,16,16,16,16,16,0,0,0,0,0,0,0,0,0,418,30.62314
20,16,16,16,16,16,0,0,0,0,0,0,0,0,0,418,30.62314
20,16,16,16,16,16,0,0,0,0,0,0,0,0,0,418,30.62314
20,16,16,16,16,16,0,0,0,0,0,0,0,0,0,413,30.90128
20,16,16,16,16,16,0,0,0,0,0,0,0,0,0,403,31.43259
20,16,16,16,16,16,0,0,0,0,0,0,0,0,0,398,31.70062
20,16,16,16,16,16,0,0,0,0,0,0,0,0,0,393,31.96764
20,16,16,16,16,16,0,0,0,0,0,0,0,0,0,388,32.23595
20,16,16,16,16,16,0,0,0,0,0,0,0,0,0,383,32.50513
20,16,16,16,16,16,0,0,0,0,0,0,0,0,0,378,32.7727
20,16,16,16,16,16,0,0,0,0,0,0,0,0,0,375.31,32.91878
20,16,16,16,16,16,0,0,0,0,0,0,0,0,0,374.08,32.98483
20,16,16,16,16,16,0,0,0,0,0,0,0,0,0,373.51,33.01611
20,16,16,16,16,16,0,0,0,0,0,0,0,0,0,373,175.4272
20,16,16,16,16,16,0,0,0,0,0,0,0,0,0,368,175.75127
20,16,16,16,16,16,0,0,0,0,0,0,0,0,0,363,176.07393
20,16,16,16,16,16,0,0,0,0,0,0,0,0,0,358,176.39516
20,16,16,16,16,16,0,0,0,0,0,0,0,0,0,353,176.71498
20,16,16,16,16,16,0,0,0,0,0,0,0,0,0,348,177.03339
20,16,16,16,16,16,0,0,0,0,0,0,0,0,0,343,177.35037
20,16,16,16,16,16,0,0,0,0,0,0,0,0,0,338,177.66594
20,16,16,16,16,16,0,0,0,0,0,0,0,0,0,333,177.98009
20,16,16,16,16,16,0,0,0,0,0,0,0,0,0,328,178.29282
20,16,16,16,16,16,0,0,0,0,0,0,0,0,0,323,178.60414
20,16,16,16,16,16,0,0,0,0,0,0,0,0,0,318,178.91404
20,16,16,16,16,16,0,0,0,0,0,0,0,0,0,313,179.22252
20,16,16,16,16,16,0,0,0,0,0,0,0,0,0,308,179.52959
20,16,16,16,16,16,0,0,0,0,0,0,0,0,0,303,179.83525
20,16,16,16,16,16,0,0,0,0,0,0,0,0,0,298.15,180.13038
50,10,10,10,10,10,0,0,0,0,0,0,0,0,0,973,107.74097
50,10,10,10,10,10,0,0,0,0,0,0,0,0,0,968,108.85376
50,10,10,10,10,10,0,0,0,0,0,0,0,0,0,963,109.95605
50,10,10,10,10,10,0,0,0,0,0,0,0,0,0,958,111.04706
50,10,10,10,10,10,0,0,0,0,0,0,0,0,0,953,112.13175
50,10,10,10,10,10,0,0,0,0,0,0,0,0,0,948,113.20013
50,10,10,10,10,10,0,0,0,0,0,0,0,0,0,943,114.26555
50,10,10,10,10,10,0,0,0,0,0,0,0,0,0,938,115.31902
50,10,10,10,10,10,0,0,0,0,0,0,0,0,0,933,116.35937
50,10,10,10,10,10,0,0,0,0,0,0,0,0,0,928,117.39789
50,10,10,10,10,10,0,0,0,0,0,0,0,0,0,923,118.42269
50,10,10,10,10,10,0,0,0,0,0,0,0,0,0,918,119.44017
50,10,10,10,10,10,0,0,0,0,0,0,0,0,0,913,120.44871
50,10,10,10,10,10,0,0,0,0,0,0,0,0,0,908,121.44803
50,10,10,10,10,10,0,0,0,0,0,0,0,0,0,903,122.44373
50,10,10,10,10,10,0,0,0,0,0,0,0,0,0,898,123.43121
50,10,10,10,10,10,0,0,0,0,0,0,0,0,0,893,124.40404
50,10,10,10,10,10,0,0,0,0,0,0,0,0,0,888,125.37706
50,10,10,10,10,10,0,0,0,0,0,0,0,0,0,883,126.33593
50,10,10,10,10,10,0,0,0,0,0,0,0,0,0,878,127.29532
50,10,10,10,10,10,0,0,0,0,0,0,0,0,0,873,128.24036
50,10,10,10,10,10,0,0,0,0,0,0,0,0,0,868,129.18523
50,10,10,10,10,10,0,0,0,0,0,0,0,0,0,863,130.11441
50,10,10,10,10,10,0,0,0,0,0,0,0,0,0,858,131.04452
