C,Si,Mn,Ni,Cr,Mo,V,Cu,W,Al,Ti,Nb,N,Co,P,S,TAUST (K),Ms (K)
0.11,0.21,0.47,0.14,2.29,1.02,0,0.18,0,0,0,0,0,0,0.01,0.01,1253,738
0.13,0.26,0.56,0.05,0.07,0,0,0.2,0,0,0,0,0,0,0.01,0.01,1193,723
0.13,0.31,0.51,1.55,1.5,0.06,0,0.22,0,0.01,0,0,0,0,0.01,0.01,1143,713
0.13,0.31,0.51,1.55,1.5,0.06,0,0.22,0,0.01,0,0,0,0,0.01,0.01,1323,713
0.13,0.32,0.63,0.07,0.95,0.86,0.19,0,0,0,0,0,0,0,0.01,0.01,1233,703
0.15,0.48,0.67,0.25,1.2,0,0.31,0.18,0,0,0,0,0,0,0.01,0.01,1193,708
0.16,0.22,1.12,0.12,0.99,0.02,0.01,0.22,0,0.015,0,0,0,0,0.01,0.01,1143,673
0.16,0.22,1.12,0.12,0.99,0.02,0.01,0.22,0,0.015,0,0,0,0,0.01,0.01,1323,673
0.16,0.31,0.5,2.02,1.95,0.03,0.01,0.2,0,0.03,0,0,0,0,0.01,0.01,1143,723
0.16,0.31,0.5,2.02,1.95,0.03,0.01,0.2,0,0.03,0,0,0,0,0.01,0.01,1323,723
0.17,0.27,0.79,0.45,0.08,0.41,0.02,0.16,0,0,0,0,0,0,0.01,0.01,1183,693
0.18,0.25,0.62,0.14,0.8,0.4,0,0.18,0,0,0,0,0,0,0.01,0.01,1193,708
0.19,0.38,1.12,0.79,0.28,0.27,0,0.98,0,0,0,0,0,0,0.01,0.01,1143,673
0.19,0.38,1.12,0.79,0.28,0.27,0,0.98,0,0,0,0,0,0,0.01,0.01,1323,673
0.19,0.42,1.2,0.06,0.08,0,0,0.21,0,0.001,0,0,0,0,0.01,0.01,1173,703
0.2,0.38,1.2,0.55,0.06,0,0,0.91,0,0,0,0,0,0,0.01,0.01,1143,668
0.2,0.53,1.2,0,0.1,0,0,0.17,0,0.001,0,0,0,0,0.01,0.01,1173,703
0.22,0.25,0.64,0.33,0.97,0.23,0,0.16,0,0,0,0,0,0,0.01,0.01,1148,673
0.22,0.25,0.64,0.33,0.97,0.23,0,0.16,0,0,0,0,0,0,0.01,0.01,1323,673
0.23,0.4,1.53,0,0.03,0,0,0,0,0,0,0,0,0,0.01,0.01,1173,673
0.23,0.45,1.32,0,0.05,0,0,0,0,0.026,0,0,0,0,0.01,0.01,1173,683
0.23,0.47,0.68,0,0.96,0.39,0,0,0,0,0,0,0,0,0.01,0.01,1203,698
0.24,0.21,1.06,0.18,0.79,0.02,0.1,0.17,0,0,0,0,0,0,0.01,0.01,1153,693
0.24,0.21,1.06,0.18,0.79,0.02,0.1,0.17,0,0,0,0,0,0,0.01,0.01,1323,693
0.3,0.22,0.64,0.11,1.01,0.24,0,0.19,0,0,0,0,0,0,0.01,0.01,1123,658
0.3,0.22,0.64,0.11,1.01,0.24,0,0.19,0,0,0,0,0,0,0.01,0.01,1323,658
0.3,0.24,0.46,2.06,1.44,0.37,0,0.2,0,0,0,0,0,0,0.01,0.01,1123,623
0.3,0.24,0.46,2.06,1.44,0.37,0,0.2,0,0,0,0,0,0,0.01,0.01,1323,623
0.35,0.23,0.65,0.23,1.11,0.05,0,0.18,0,0,0,0,0,0,0.01,0.01,1123,633
0.36,0.25,0.49,0.21,1.54,0.03,0,0.16,0,0,0,0,0,0,0.01,0.01,1133,613
0.36,0.25,0.49,0.21,1.54,0.03,0,0.16,0,0,0,0,0,0,0.01,0.01,1323,613
0.36,0.29,0.69,0.08,1.09,0.07,0.01,0.12,0,0,0,0,0,0,0.01,0.01,1323,633
0.38,0.18,0.81,0.01,1.54,0.63,0.27,0,0,0,0,0,0,0,0.01,0.01,1243,623
0.38,0.23,0.64,0.08,0.99,0.16,0,0.17,0,0,0,0,0,0,0.01,0.01,1323,633
0.38,0.23,0.64,0.08,0.99,0.16,0,0.17,0,0,0,0,0,0,0.01,0.01,1133,633
0.38,1.05,1.14,0,0.23,0,0.02,0,0,0,0,0,0,0,0.01,0.01,1323,603
0.38,1.05,1.14,0,0.23,0,0.02,0,0,0,0,0,0,0,0.01,0.01,1133,603
0.38,1.37,0.79,0.16,0.16,0,0.01,0.1,0,0,0,0,0,0,0.01,0.01,1153,628
0.39,0.58,0.45,0.13,1.45,0.47,0.7,0,0.55,0,0,0,0,0,0.01,0.01,1373,613
0.39,0.58,0.45,0.13,1.45,0.47,0.7,0,0.55,0,0,0,0,0,0.01,0.01,1323,633
0.4,0.2,0.35,4.03,1.27,0.24,0.04,0.16,0,0,0,0,0,0,0.01,0.01,1223,538
0.4,0.2,0.35,4.03,1.27,0.24,0.04,0.16,0,0,0,0,0,0,0.01,0.01,1133,543
0.41,0.25,0.71,0.22,1.06,0.02,0,0.17,0,0,0,0,0,0,0.01,0.01,1113,628
0.42,0.27,1.82,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1133,613
0.43,0.24,0.43,5,0.04,0,0,0,0,0.032,0,0,0,0,0.01,0.01,1123,533
0.43,0.27,0.75,0.11,1.31,0.72,0.23,0,0,0,0,0,0,0,0.01,0.01,1243,598
0.43,0.27,0.75,0.11,1.31,0.72,0.23,0,0,0,0,0,0,0,0.01,0.01,1323,598
0.43,0.28,1.67,0.11,0.32,0.03,0.1,0.06,0,0,0,0,0,0,0.01,0.01,1323,583
0.44,0.22,0.66,0,0.15,0,0.02,0,0,0,0,0,0,0,0.01,0.01,1153,623
0.44,0.22,0.66,0,0.15,0,0.02,0,0,0,0,0,0,0,0.01,0.01,1323,623
0.44,0.22,0.8,0.26,1.04,0.04,0,0.17,0,0,0,0,0,0,0.01,0.01,1113,628
0.44,0.22,0.8,0.26,1.04,0.04,0,0.17,0,0,0,0,0,0,0.01,0.01,1323,628
0.44,0.26,0.75,0.17,1.7,0.08,0.09,0.18,0,0,0,0,0,0,0.01,0.01,1323,573
0.44,0.26,0.75,0.17,1.7,0.08,0.09,0.18,0,0,0,0,0,0,0.01,0.01,1123,573
0.46,0.22,0.5,0.22,1,0.21,0,0.26,0,0,0,0,0,0,0.01,0.01,1323,563
0.46,0.22,0.5,0.22,1,0.21,0,0.26,0,0,0,0,0,0,0.01,0.01,1123,563
0.46,0.24,0.5,3.96,1.52,0.07,0,0.2,0.59,0,0,0,0,0,0.01,0.01,1133,508
0.47,0.35,0.82,0.04,1.2,0,0.11,0.14,0,0,0,0,0,0,0.01,0.01,1153,573
0.47,0.35,0.82,0.04,1.2,0,0.11,0.14,0,0,0,0,0,0,0.01,0.01,1323,573
0.47,0.35,1.04,0.05,1.2,0.05,0.12,0.16,0,0,0,0,0,0,0.01,0.01,1323,563
0.5,0.32,0.8,0.11,1.04,0.24,0,0.17,0,0,0,0,0,0,0.01,0.01,1323,563
0.5,0.32,0.8,0.11,1.04,0.24,0,0.17,0,0,0,0,0,0,0.01,0.01,1123,563
0.55,0.22,0.98,0.01,1.02,0,0.11,0.07,0,0,0,0,0,0,0.01,0.01,1323,543
