C,Si,Mn,Ni,Cr,Mo,V,Cu,W,Al,Ti,Nb,N,Co,P,S,AT (K),Ms (K)
0.04,0.1,1,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1723,738.01
0.04,0.1,1,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1713,745.06
0.04,0.1,1,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1703,751.63
0.04,0.1,1,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1693,754.41
0.04,0.1,1,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1683,754.45
0.04,0.1,1,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1673,754.49
0.04,0.1,1,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1663,754.53
0.04,0.1,1,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1653,754.56
0.04,0.1,1,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1643,754.59
0.04,0.1,1,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1633,754.62
0.04,0.1,1,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1623,754.64
0.04,0.1,1,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1613,754.66
0.04,0.1,1,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1603,754.68
0.04,0.1,1,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1593,754.7
0.04,0.1,1,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1583,754.72
0.04,0.1,1,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1573,754.73
0.04,0.1,1,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1563,754.75
0.04,0.1,1,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1553,754.76
0.04,0.1,1,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1543,754.77
0.04,0.1,1,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1533,754.78
0.04,0.1,1,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1523,754.79
0.04,0.1,1,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1513,754.8
0.04,0.1,1,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1503,754.81
0.04,0.1,1,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1493,754.81
0.04,0.1,1,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1483,754.82
