Fe,Co,Ni,Al,Si,Cr,Nb,Mo,Ti,Cu,Mn,Zr,V,C,T,"phase (SS=0, SS+IM=1)"
35.51,31.81,32.68,0,0,0,0,0,0,0,0,0,0,0,25,0
30.45,30.73,29.19,9.63,0,0,0,0,0,0,0,0,0,0,25,0
27.81,27.49,27.28,17.42,0,0,0,0,0,0,0,0,0,0,25,0
26.13,25.85,25.15,22.87,0,0,0,0,0,0,0,0,0,0,25,0
24.38,23.92,23.28,28.42,0,0,0,0,0,0,0,0,0,0,25,0
30.89,30.52,30.27,0,8.31,0,0,0,0,0,0,0,0,0,25,0
27.73,28.16,27.28,0,16.83,0,0,0,0,0,0,0,0,0,25,1
26.31,25.72,26.06,0,21.91,0,0,0,0,0,0,0,0,0,25,1
30.21,25.23,24.32,0,0,20.23,0,0,0,0,0,0,0,0,25,0
26.12,25.43,27.63,0,0,20.83,0,0,0,0,0,0,0,0,25,0
28.46,24.68,23.84,0,0,21.3,1.73,0,0,0,0,0,0,0,25,1
27.49,25.11,24.47,0,0,21.11,1.82,0,0,0,0,0,0,0,25,1
26.39,25.1,24.94,0,0,20.46,3.1,0,0,0,0,0,0,0,25,1
27.68,23.34,24.15,0,0,21.68,3.16,0,0,0,0,0,0,0,25,1
28.43,23.07,22.6,0,0,22.05,3.85,0,0,0,0,0,0,0,25,1
24.48,24.16,24.66,0,0,26.82,0,0,0,0,0,0,0,0,25,0
24.1,23.14,22.58,5.61,0,24.58,0,0,0,0,0,0,0,0,25,0
23.34,22.61,22.55,7.82,0,23.68,0,0,0,0,0,0,0,0,25,0
20.91,21.02,22.87,12.4,0,22.8,0,0,0,0,0,0,0,0,25,0
21.16,21.04,20.51,15,0,22.29,0,0,0,0,0,0,0,0,25,0
21.33,20.56,20.1,16.18,0,21.83,0,0,0,0,0,0,0,0,25,0
20.68,19.78,20.17,18.26,0,21.12,0,0,0,0,0,0,0,0,25,0
18.74,19.36,19.59,23.03,0,19.28,0,0,0,0,0,0,0,0,25,0
18.08,18.17,17.66,27.79,0,18.3,0,0,0,0,0,0,0,0,25,0
16.78,16.79,16.81,32.01,0,17.6,0,0,0,0,0,0,0,0,25,0
25.09,24.47,24.4,0,0,26.05,0,0,0,0,0,0,0,0,25,0
23.82,23.21,22.59,5.89,0,24.49,0,0,0,0,0,0,0,0,25,0
23.22,22.63,22.69,8.03,0,23.44,0,0,0,0,0,0,0,0,25,0
21.66,22.63,22.06,12.1,0,21.55,0,0,0,0,0,0,0,0,25,0
20.92,21.19,20.69,15.66,0,21.54,0,0,0,0,0,0,0,0,25,0
20.18,21.15,20.43,17.33,0,20.93,0,0,0,0,0,0,0,0,25,0
20.33,19.58,19.27,20.12,0,20.7,0,0,0,0,0,0,0,0,25,0
19.11,19.24,19.06,25.53,0,19.06,0,0,0,0,0,0,0,0,25,0
17.95,18.69,17.66,27.44,0,18.26,0,0,0,0,0,0,0,0,25,0
