C,Mn,Cu,Si,Ni,Cr,Mo,V,W,Co,P,S,AT,T,t
0.28,0.36,0,0.11,0,2.57,0,0.36,8.88,0,0,0,1120,749.37,425.98
0.28,0.36,0,0.11,0,2.57,0,0.36,8.88,0,0,0,1120,755.63,430.48
0.28,0.36,0,0.11,0,2.57,0,0.36,8.88,0,0,0,1120,761.7,455.27
0.28,0.36,0,0.11,0,2.57,0,0.36,8.88,0,0,0,1120,766.78,491.71
0.28,0.36,0,0.11,0,2.57,0,0.36,8.88,0,0,0,1120,771.28,532.92
0.28,0.36,0,0.11,0,2.57,0,0.36,8.88,0,0,0,1120,775.2,585.73
0.28,0.36,0,0.11,0,2.57,0,0.36,8.88,0,0,0,1120,779.31,639.28
0.28,0.36,0,0.11,0,2.57,0,0.36,8.88,0,0,0,1120,783.22,702.64
0.28,0.36,0,0.11,0,2.57,0,0.36,8.88,0,0,0,1120,786.74,783.15
0.28,0.36,0,0.11,0,2.57,0,0.36,8.88,0,0,0,1120,789.87,854.75
0.28,0.36,0,0.11,0,2.57,0,0.36,8.88,0,0,0,1120,793,949.37
0.28,0.36,0,0.11,0,2.57,0,0.36,8.88,0,0,0,1120,795.15,1021.26
0.28,0.36,0,0.11,0,2.57,0,0.36,8.88,0,0,0,1120,797.89,1136.47
0.28,0.36,0,0.11,0,2.57,0,0.36,8.88,0,0,0,1120,801.02,1255.71
0.28,0.36,0,0.11,0,2.57,0,0.36,8.88,0,0,0,1120,803.76,1397.38
0.28,0.36,0,0.11,0,2.57,0,0.36,8.88,0,0,0,1120,806.7,1577.35
0.28,0.36,0,0.11,0,2.57,0,0.36,8.88,0,0,0,1120,809.44,1742.84
0.28,0.36,0,0.11,0,2.57,0,0.36,8.88,0,0,0,1120,812.37,1932.56
0.28,0.36,0,0.11,0,2.57,0,0.36,8.88,0,0,0,1120,814.92,2142.94
0.28,0.36,0,0.11,0,2.57,0,0.36,8.88,0,0,0,1120,818.44,2480.03
0.28,0.36,0,0.11,0,2.57,0,0.36,8.88,0,0,0,1120,821.18,2779.56
0.28,0.36,0,0.11,0,2.57,0,0.36,8.88,0,0,0,1120,823.92,3159.98
0.28,0.36,0,0.11,0,2.57,0,0.36,8.88,0,0,0,1120,826.46,3566.97
0.28,0.36,0,0.11,0,2.57,0,0.36,8.88,0,0,0,1120,828.61,4084.16
0.28,0.36,0,0.11,0,2.57,0,0.36,8.88,0,0,0,1120,831.16,4643.14
0.28,0.36,0,0.11,0,2.57,0,0.36,8.88,0,0,0,1120,834.29,5203.93
0.28,0.36,0,0.11,0,2.57,0,0.36,8.88,0,0,0,1120,836.63,5874.16
0.28,0.36,0,0.11,0,2.57,0,0.36,8.88,0,0,0,1120,838.98,6536.87
0.28,0.36,0,0.11,0,2.57,0,0.36,8.88,0,0,0,1120,841.13,7171.4
0.28,0.36,0,0.11,0,2.57,0,0.36,8.88,0,0,0,1120,843.29,8095.02
0.28,0.36,0,0.11,0,2.57,0,0.36,8.88,0,0,0,1120,845.05,9235.8
0.28,0.36,0,0.11,0,2.57,0,0.36,8.88,0,0,0,1120,847.79,10585.91
0.28,0.36,0,0.11,0,2.57,0,0.36,8.88,0,0,0,1120,850.33,11718.18
0.28,0.36,0,0.11,0,2.57,0,0.36,8.88,0,0,0,1120,851.89,13113.55
0.28,0.36,0,0.11,0,2.57,0,0.36,8.88,0,0,0,1120,854.05,14781.98
0.28,0.36,0,0.11,0,2.57,0,0.36,8.88,0,0,0,1120,854.63,16602.32
0.28,0.36,0,0.11,0,2.57,0,0.36,8.88,0,0,0,1120,856,18579.28
0.28,0,0,0.96,0.54,2.8,0,0.24,8.77,0,0,0,1175,738.81,215.17
0.28,0,0,0.96,0.54,2.8,0,0.24,8.77,0,0,0,1175,745.36,216.65
0.28,0,0,0.96,0.54,2.8,0,0.24,8.77,0,0,0,1175,751.11,228.86
0.28,0,0,0.96,0.54,2.8,0,0.24,8.77,0,0,0,1175,755.88,246.79
0.28,0,0,0.96,0.54,2.8,0,0.24,8.77,0,0,0,1175,759.65,264.3
0.28,0,0,0.96,0.54,2.8,0,0.24,8.77,0,0,0,1175,762.82,291.93
0.28,0,0,0.96,0.54,2.8,0,0.24,8.77,0,0,0,1175,766.79,324.66
0.28,0,0,0.96,0.54,2.8,0,0.24,8.77,0,0,0,1175,768.78,362.3
0.28,0,0,0.96,0.54,2.8,0,0.24,8.77,0,0,0,1175,771.56,400.16
0.28,0,0,0.96,0.54,2.8,0,0.24,8.77,0,0,0,1175,774.14,446.56
0.28,0,0,0.96,0.54,2.8,0,0.24,8.77,0,0,0,1175,776.32,508.68
0.28,0,0,0.96,0.54,2.8,0,0.24,8.77,0,0,0,1175,778.5,583.44
