C,Mn,Cu,Si,Ni,Cr,Mo,V,W,Co,P,S,AT,T,t
0.3,0,0,1,0.5,3,0,0.2,8.5,0,0,0,1175,809,5154.61
0.3,0,0,1,0.5,3,0,0.2,8.5,0,0,0,1175,799,2639.78
0.3,0,0,1,0.5,3,0,0.2,8.5,0,0,0,1175,789,1678.34
0.3,0,0,1,0.5,3,0,0.2,8.5,0,0,0,1175,779,1213.56
0.3,0,0,1,0.5,3,0,0.2,8.5,0,0,0,1175,769,956.3
0.3,0,0,1,0.5,3,0,0.2,8.5,0,0,0,1175,759,801.82
0.3,0,0,1,0.5,3,0,0.2,8.5,0,0,0,1175,749,704.85
0.3,0,0,1,0.5,3,0,0.2,8.5,0,0,0,1175,739,643.3
0.3,0,0,1,0.5,3,0,0.2,8.5,0,0,0,1175,729,605.46
0.3,0,0,1,0.5,3,0,0.2,8.5,0,0,0,1175,719,584.81
0.3,0,0,1,0.5,3,0,0.2,8.5,0,0,0,1175,709,577.6
0.3,0,0,1,0.5,3,0,0.2,8.5,0,0,0,1175,699,581.74
0.3,0,0,1,0.5,3,0,0.2,8.5,0,0,0,1175,689,596.23
0.3,0,0,1,0.5,3,0,0.2,8.5,0,0,0,1175,679,620.8
0.3,0,0,1,0.5,3,0,0.2,8.5,0,0,0,1175,669,655.81
0.3,0,0,1,0.5,3,0,0.2,8.5,0,0,0,1175,659,702.16
0.3,0,0,1,0.5,3,0,0.2,8.5,0,0,0,1175,649,761.29
0.3,0,0,1,0.5,3,0,0.2,8.5,0,0,0,1175,639,835.27
0.3,0,0,1,0.5,3,0,0.2,8.5,0,0,0,1175,629,926.9
0.3,0,0,1,0.5,3,0,0.2,8.5,0,0,0,1175,619,1039.83
0.3,0,0,1,0.5,3,0,0.2,8.5,0,0,0,1175,609,1178.89
0.3,0,0,1,0.5,3,0,0.2,8.5,0,0,0,1175,599,1350.35
0.3,0,0,1,0.5,3,0,0.2,8.5,0,0,0,1175,589,1562.37
0.3,0,0,1,0.5,3,0,0.2,8.5,0,0,0,1175,579,1825.67
0.3,0,0,1,0.5,3,0,0.2,8.5,0,0,0,1175,569,2154.36
0.3,0,0,1,0.5,3,0,0.2,8.5,0,0,0,1175,559,2567.11
0.3,0,0,1,0.5,3,0,0.2,8.5,0,0,0,1175,549,3088.83
0.3,0,0,1,0.5,3,0,0.2,8.5,0,0,0,1175,539,3752.95
0.3,0,0,1,0.5,3,0,0.2,8.5,0,0,0,1175,529,4604.73
0.3,0,0,1,0.5,3,0,0.2,8.5,0,0,0,1175,519,5705.92
0.3,0,0,1,0.5,3,0,0.2,8.5,0,0,0,1175,509,7141.42
0.3,0,0,1,0.5,3,0,0.2,8.5,0,0,0,1175,499,9029.11
0.3,0,0,1,0.5,3,0,0.2,8.5,0,0,0,1175,489,11534
0.3,0,0,1,0.5,3,0,0.2,8.5,0,0,0,1175,479,14889.3
0.3,0,0,1,0.5,2,0,0.2,8,0,0,0,1175,809,35326.6
0.3,0,0,1,0.5,2,0,0.2,8,0,0,0,1175,799,7969.52
0.3,0,0,1,0.5,2,0,0.2,8,0,0,0,1175,789,3546
0.3,0,0,1,0.5,2,0,0.2,8,0,0,0,1175,779,2093.73
0.3,0,0,1,0.5,2,0,0.2,8,0,0,0,1175,769,1446.75
0.3,0,0,1,0.5,2,0,0.2,8,0,0,0,1175,759,1105.95
0.3,0,0,1,0.5,2,0,0.2,8,0,0,0,1175,749,907.6
0.3,0,0,1,0.5,2,0,0.2,8,0,0,0,1175,739,785.38
0.3,0,0,1,0.5,2,0,0.2,8,0,0,0,1175,729,708.4
0.3,0,0,1,0.5,2,0,0.2,8,0,0,0,1175,719,660.82
0.3,0,0,1,0.5,2,0,0.2,8,0,0,0,1175,709,633.97
0.3,0,0,1,0.5,2,0,0.2,8,0,0,0,1175,699,622.96
0.3,0,0,1,0.5,2,0,0.2,8,0,0,0,1175,689,625.07
0.3,0,0,1,0.5,2,0,0.2,8,0,0,0,1175,679,638.93
0.3,0,0,1,0.5,2,0,0.2,8,0,0,0,1175,669,664.1
0.3,0,0,1,0.5,2,0,0.2,8,0,0,0,1175,659,700.88
0.3,0,0,1,0.5,2,0,0.2,8,0,0,0,1175,649,750.2
